tarih,ptf
2017-01-01 00:00:00,115.0
2017-01-01 01:00:00,88.66
2017-01-01 02:00:00,60.01
2017-01-01 03:00:00,29.99
2017-01-01 04:00:00,1.08
2017-01-01 05:00:00,5.04
2017-01-01 06:00:00,5.03
2017-01-01 07:00:00,5.6
2017-01-01 08:00:00,1.04
2017-01-01 09:00:00,94.99
2017-01-01 10:00:00,144.99
2017-01-01 11:00:00,144.99
2017-01-01 12:00:00,143.98
2017-01-01 13:00:00,144.99
2017-01-01 14:00:00,144.99
2017-01-01 15:00:00,130.95
2017-01-01 16:00:00,110.08
2017-01-01 17:00:00,119.99
2017-01-01 18:00:00,145.0
2017-01-01 19:00:00,184.97
2017-01-01 20:00:00,149.99
2017-01-01 21:00:00,137.54
2017-01-01 22:00:00,115.0
2017-01-01 23:00:00,125.3
2017-01-02 00:00:00,115.09
2017-01-02 01:00:00,110.01
2017-01-02 02:00:00,69.99
2017-01-02 03:00:00,29.99
2017-01-02 04:00:00,5.09
2017-01-02 05:00:00,64.87
2017-01-02 06:00:00,114.99
2017-01-02 07:00:00,201.25
2017-01-02 08:00:00,208.83
2017-01-02 09:00:00,205.93
2017-01-02 10:00:00,202.94
2017-01-02 11:00:00,203.29
2017-01-02 12:00:00,200.76
2017-01-02 13:00:00,202.53
2017-01-02 14:00:00,202.19
2017-01-02 15:00:00,194.67
2017-01-02 16:00:00,165.05
2017-01-02 17:00:00,165.06
2017-01-02 18:00:00,178.49
2017-01-02 19:00:00,147.99
2017-01-02 20:00:00,119.1
2017-01-02 21:00:00,110.09
2017-01-02 22:00:00,86.71
2017-01-02 23:00:00,80.86
2017-01-03 00:00:00,115.08
2017-01-03 01:00:00,114.98
2017-01-03 02:00:00,68.0
2017-01-03 03:00:00,65.86
2017-01-03 04:00:00,65.86
2017-01-03 05:00:00,68.0
2017-01-03 06:00:00,114.99
2017-01-03 07:00:00,150.0
2017-01-03 08:00:00,204.43
2017-01-03 09:00:00,212.23
2017-01-03 10:00:00,219.04
2017-01-03 11:00:00,220.23
2017-01-03 12:00:00,214.53
